key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR
log_added_total,Added: {0}\nTotal: {1},追加済み: {0}\n合計: {1},추가됨: {0}\n총계: {1},已添加: {0}\n总计: {1},Añadido: {0}\nTotal: {1},Hinzugefügt: {0}\nGesamt: {1},Ajouté : {0}\nTotal : {1}
log_api_waiting,Figma API timeout. {0} seconds remaining...,Figma API のタイムアウト。残り {0} 秒…,Figma API 시간 초과. {0}초 남음...,Figma API 超时。剩余 {0} 秒...,Tiempo de espera de la API de Figma. Quedan {0} segundos...,Figma API-Timeout. {0} Sekunden verbleiben...,Délai d’attente de l’API Figma. {0} secondes restantes...
log_auth_complete,Auth complete!,認証が完了しました!,인증 완료!,授权完成！,¡Autenticación completada!,Authentifizierung abgeschlossen!,Authentification terminée !
log_cant_auth,"Can't auth.
Status: {0}
Message: {1}
Exception: {2}","認証できません。
ステータス: {0}
メッセージ: {1}
例外: {2}","인증할 수 없습니다.
상태: {0}
메시지: {1}
예외: {2}","无法授权。
状态: {0}
消息: {1}
异常: {2}","No se puede autenticar.
Estado: {0}
Mensaje: {1}
Excepción: {2}","Kann nicht authentifizieren.
Status: {0}
Nachricht: {1}
Ausnahme: {2}","Impossible de s’authentifier.
Statut : {0}
Message : {1}
Exception : {2}"
log_cant_draw_object,Can't draw '{0}' object.,'{0}' オブジェクトを描画できません。,'{0}' 객체를 그릴 수 없습니다.,无法绘制“{0}”对象。,No se puede dibujar el objeto '{0}'.,Kann das Objekt '{0}' nicht zeichnen.,Impossible de dessiner l’objet '{0}'.
log_cant_find_package,"The package '{0}' is not found, required for the asset to work. To install the package:
1. Open the Unity Package Manager;
2. Click on the PLUS button in the upper left corner of the window;
3. Select 'Add package from git URL' menu item and enter the package name '{0}';
4. Click on the Install button;
5. The package is installed, now you can use the asset.","アセットを動作させるために必要なパッケージ '{0}' が見つかりません。パッケージをインストールするには:
1. Unity Package Manager を開きます;
2. ウィンドウ左上の PLUS ボタンをクリックします;
3. 'Add package from git URL' メニュー項目を選択し、パッケージ名 '{0}' を入力します;
4. Install ボタンをクリックします;
5. パッケージがインストールされ、アセットを使用できるようになります。","에셋이 작동하는 데 필요한 패키지 '{0}'을（를） 찾을 수 없습니다. 패키지를 설치하려면:
1. Unity 패키지 매니저를 엽니다;
2. 창 왼쪽 상단의 PLUS 버튼을 클릭합니다;
3. 'git URL에서 패키지 추가' 메뉴 항목을 선택하고 패키지 이름 '{0}'을（를） 입력합니다;
4. 설치 버튼을 클릭합니다;
5. 패키지가 설치되면 이제 에셋을 사용할 수 있습니다.","未找到软件包“{0}”，这是资源正常工作所需的。要安装此软件包：
1. 打开 Unity Package Manager；
2. 点击窗口左上角的加号按钮；
3. 选择“从 git URL 添加软件包”并输入软件包名称“{0}”；
4. 点击安装按钮；
5. 软件包安装完成后，您即可使用该资源。","El paquete '{0}' no se encuentra, es necesario para que el asset funcione. Para instalar el paquete:
1. Abre el Unity Package Manager;
2. Haz clic en el botón MÁS en la esquina superior izquierda de la ventana;
3. Selecciona la opción 'Add package from git URL' e introduce el nombre del paquete '{0}';
4. Haz clic en el botón Instalar;
5. El paquete está instalado, ahora puedes usar el asset.","Das Paket '{0}' wurde nicht gefunden, ist jedoch für die Funktion des Assets erforderlich. Um das Paket zu installieren:
1. Öffnen Sie den Unity Package Manager;
2. Klicken Sie auf die PLUS-Schaltfläche in der oberen linken Ecke des Fensters;
3. Wählen Sie das Menüelement 'Add package from git URL' und geben Sie den Paketnamen '{0}' ein;
4. Klicken Sie auf die Schaltfläche Installieren;
5. Das Paket ist installiert, nun können Sie das Asset verwenden.","Le package '{0}' est introuvable, requis pour que l’actif fonctionne. Pour installer le package :
1. Ouvrez le Gestionnaire de packages Unity ;
2. Cliquez sur le bouton PLUS dans le coin supérieur gauche de la fenêtre ;
3. Sélectionnez l’option « Ajouter un package depuis une URL git » et saisissez le nom du package '{0}' ;
4. Cliquez sur le bouton Installer ;
5. Le package est installé, vous pouvez maintenant utiliser l’actif."
log_cant_get_part_of_frames,"Can't get part of frames.
Error: {0}
Status: {1}","フレームの一部を取得できません。
エラー: {0}
ステータス: {1}","프레임 일부를 가져올 수 없습니다.
오류: {0}
상태: {1}","无法获取部分画框。
错误: {0}
状态: {1}","No se puede obtener parte de los marcos.
Error: {0}
Estado: {1}","Kann Teil der Frames nicht abrufen.
Fehler: {0}
Status: {1}","Impossible d’obtenir une partie des images.
Erreur : {0}
Statut : {1}"
log_cant_execute_because_no_backup,Unable to perform this action due to the inability to create a scene backup. Perhaps your scene was created for the first time and does not yet have a saved scene file?,シーンのバックアップを作成できないため、この操作を実行できません。シーンを初めて作成したばかりで、まだ保存済みのシーンファイルが存在しない可能性があります。,씬 백업을 생성할 수 없어서 이 작업을 수행할 수 없습니다. 아마도 씬이 처음 생성되어 아직 저장된 씬 파일이 없을 수 있습니다.,由于无法创建场景备份，无法执行此操作。可能是您的场景首次创建，还没有保存的场景文件？,No se puede realizar esta acción porque no fue posible crear una copia de seguridad de la escena. Es posible que sea la primera vez que creas esta escena y aún no tengas un archivo guardado.,"Diese Aktion kann nicht ausgeführt werden, da kein Szenen-Backup erstellt werden konnte. Vielleicht wurde Ihre Szene gerade erst erstellt und hat noch keine gespeicherte Szenendatei?",Impossible d’effectuer cette action en raison de l’impossibilité de créer une sauvegarde de la scène. Peut-être que votre scène a été créée pour la première fois et qu’elle n’a pas encore de fichier de scène enregistré ?
log_component_not_selected_in_hierarchy,{0}'s gameobject not selected in hierarchy.,{0} の GameObject がヒエラルキーで選択されていません。,{0}의 게임오브젝트가 계층 구조에서 선택되지 않았습니다。,未在层级中选择 {0} 的游戏对象。,El GameObject de {0} no está seleccionado en la jerarquía.,Das GameObject von {0} ist in der Hierarchie nicht ausgewählt.,Le GameObject de {0} n’est pas sélectionné dans la hiérarchie.
log_current_canvas_metas_destroy,FCU {0}: {1} '{2}.cs' scripts destroyed.,FCU {0}: {1} '{2}.cs' スクリプトを削除しました。,FCU {0}: {1} '{2}.cs' 스크립트가 삭제되었습니다.,FCU {0}: {1} “{2}.cs” 脚本已销毁。,FCU {0}: {1} scripts '{2}.cs' destruidos.,FCU {0}: {1} '{2}.cs'-Skripte zerstört.,FCU {0} : {1} scripts '{2}.cs' détruits.
